# LRAN range test trace, captured 2026-09-05 15:31:50
# note: seven-site ambient survey, R11 hold discipline, ~5 min per site, 3.0dBi; site 0 bridge-house INDOORS at the bridge target location (office, NW side); other sites outdoors at node target locations
# schema: docs/rangetest/data/README.md
#
# board=heltec_wifi_lora_32_V3
# freq_hz=915000000
# sf=7
# bw_khz=125.0
# cr=4/5
# conducted_dbm=-9
# antenna_gain_dbi=3.0
# eirp_ceiling_dbm=-1.0
# sync_word=0x1424
# explicit_header=1
# crc=1
# preamble_symbols=8
# payload_len=16
# role=SURVEY
#
site_index,site_name,bin_index,freq_hz,passes,samples,peak_dbm10,mean_dbm10,floor_dbm10,dropped
# site=0 bridge-house
# passes=74
# hold_discipline=1
# bins_sampled=130 of 130
# dwell_ms=30 settle_ms=4 sample_interval_ms=3
0,bridge-house,126,927200000,74,666,-1130,-1146,-1160,0
0,bridge-house,127,927400000,74,666,-1130,-1146,-1160,0
0,bridge-house,128,927600000,74,666,-1140,-1147,-1160,0
0,bridge-house,129,927800000,74,666,-1140,-1147,-1160,0
# site=1 gatelink-gate
# passes=70
# hold_discipline=1
# bins_sampled=130 of 130
# dwell_ms=30 settle_ms=4 sample_interval_ms=3
1,gatelink-gate,0,902000000,70,617,-1100,-1145,-1160,0
1,gatelink-gate,1,902200000,70,615,-1110,-1145,-1170,0
1,gatelink-gate,2,902400000,70,630,-930,-1144,-1160,0
1,gatelink-gate,3,902600000,70,627,-1090,-1145,-1160,0
1,gatelink-gate,4,902800000,70,612,-990,-1145,-1160,0
1,gatelink-gate,5,903000000,70,630,-1000,-1145,-1160,0
1,gatelink-gate,6,903200000,70,627,-790,-1144,-1170,0
1,gatelink-gate,7,903400000,70,612,-650,-1144,-1160,0
1,gatelink-gate,8,903600000,70,628,-980,-1146,-1160,0
1,gatelink-gate,9,903800000,70,627,-1080,-1146,-1160,0
1,gatelink-gate,10,904000000,70,612,-1130,-1147,-1160,0
1,gatelink-gate,11,904200000,70,630,-1050,-1147,-1160,0
1,gatelink-gate,12,904400000,70,627,-1080,-1146,-1160,0
1,gatelink-gate,13,904600000,70,609,-1120,-1147,-1170,0
1,gatelink-gate,14,904800000,70,629,-1080,-1147,-1160,0
1,gatelink-gate,15,905000000,70,625,-1050,-1146,-1170,0
1,gatelink-gate,16,905200000,70,630,-980,-1146,-1160,0
1,gatelink-gate,17,905400000,70,629,-1130,-1147,-1160,0
1,gatelink-gate,18,905600000,70,624,-990,-1146,-1160,0
1,gatelink-gate,19,905800000,70,630,-1120,-1147,-1160,0
1,gatelink-gate,20,906000000,70,629,-990,-1146,-1160,0
1,gatelink-gate,21,906200000,70,624,-1120,-1147,-1160,0
1,gatelink-gate,22,906400000,70,630,-1060,-1147,-1160,0
1,gatelink-gate,23,906600000,70,629,-1040,-1147,-1160,0
1,gatelink-gate,24,906800000,70,624,-930,-1146,-1160,0
1,gatelink-gate,25,907000000,70,630,-1130,-1139,-1160,0
1,gatelink-gate,26,907200000,70,629,-1060,-1147,-1160,0
1,gatelink-gate,27,907400000,70,624,-1090,-1147,-1160,0
1,gatelink-gate,28,907600000,70,630,-1060,-1147,-1170,0
1,gatelink-gate,29,907800000,70,630,-1100,-1147,-1160,0
1,gatelink-gate,30,908000000,70,630,-1050,-1147,-1180,0
